pinyin	verb	id
ao-dao	[熬]到	0001
ai	挨	0002
ai-zou	挨揍	0003
ai-dao	哀悼	0004
ai	爱	0005
ai-guo	爱国	0006
ai-hu	爱护	0007
an-ding	安定	0008
an-fang	安放	0009
an-ju-le-ye	安居乐业	0010
an-le	安乐	0011
an-ning	安宁	0012
an-pai	安排	0013
an-quan	安全	0014
an-zhi	安置	0015
an-zhuang	安装	0016
an-shi	暗示	0017
ang-gui	昂贵	0018
ao-xian	凹陷	0019
ao	熬	0020
ao-xiang	翱翔	0021
ao-yuan	奥援	0022
ba-di-er-qi	拔地而起	0023
ba-guan	把关	0024
ba-wo	把握	0025
ba	罢	0026
ba-mian	罢免	0027
ba-shou	罢手	0028
ba-xiu	罢休	0029
bai	白	0030
bai-fei-ju-xing	百废俱兴	0031
bai-zhe-bu-nao	百折不挠	0032
bai	摆	0033
bai-chu	摆出	0034
bai-fang	摆放	0035
bai-kai	摆开	0036
bai-shang	摆上	0037
bai-tuo	摆脱	0038
bai-you	摆有	0039
bai-bei	败北	0040
bai-gei	败给	0041
bai-su	败诉	0042
bai-yu	败于	0043
bai-zai	败在	0044
bai	拜	0045
bai-fang	拜访	0046
ban	搬	0047
ban-jin	搬进	0048
ban-qian	搬迁	0049
ban-ru	搬入	0050
ban-yun	搬运	0051
pan	般	0052
ban	颁	0053
ban-bu	颁布	0054
ban-fa	颁发	0055
ban-jiang	颁奖	0056
ban-shou	颁授	0057
ban-cheng	扮成	0058
ban-yan	扮演	0059
ban-you	拌有	0060
ban	伴	0061
ban-sui	伴随	0062
ban-feng-bi	半封闭	0063
ban-zhen-ban-jia	半真半假	0064
ban	办	0065
ban-an	办案	0066
ban-chang	办厂	0067
ban-cheng	办成	0068
ban-hao	办好	0069
ban-li	办理	0070
ban-qi	办起	0071
ban-shi	办事	0072
ban-tuo	办妥	0073
bang	帮	0074
ban-kun	帮困	0075
bang-zhu	帮助	0076
bang-shang-you-ming	榜上有名	0077
bao	包	0078
bao-cang	包藏	0079
bao-di	包底	0080
bao-han	包含	0081
bao-kuo	包括	0082
bao-lan	包揽	0083
bo-duo	剥夺	0084
bo	薄	0085
bo-ruo	薄弱	0086
bao	保	0087
bao-chi	保持	0088
bao-cun	保存	0089
bao-guan	保管	0090
bao-hu	保护	0091
bao-jie	保洁	0092
bao-liu	保留	0093
bao-shou	保守	0094
bao-wei	保卫	0095
bao-wen	保温	0096
bao-zhang	保障	0097
bao-zheng	保证	0098
bao-zhu	保住	0099
bao-man	饱满	0100
bao-shou	饱受	0101
bao-gui	宝贵	0102
bao	抱	0103
bao-you	抱有	0104
bao-yuan	抱怨	0105
bao-zhu	抱住	0106
bao	报	0107
bao-dao	报到	0108
bao-dao	报道	0109
bao-gao	报告	0110
bao-jing	报经	0111
bao-ming	报名	0112
bao-shou	报收	0113
bao-shou-yu	报收于	0114
bao-xi	报喜	0115
bao-xiao	报效	0116
bao-yi	报以	0117
bao-you	报忧	0118
bao-die	暴跌	0119
bao-lu	暴露	0120
bao	爆	0121
bao-chu	爆出	0122
bao-chu-leng-men	爆出冷门	0123
bao-fa	爆发	0124
bao-man	爆满	0125
bao-zha	爆炸	0126
bei-huan-li-he	悲欢离合	0127
bei	背	0128
bei-shou	倍受	0129
bei-zeng	倍增	0130
bei-ke	备课	0131
bei-zhan	备战	0132
bei-dong	被动	0133
ben-fu	奔赴	0134
ben-teng	奔腾	0135
ben	本	0136
ben-zhe	本着	0137
ben-zhuo	笨拙	0138
beng-jie	崩解	0139
bi	逼	0140
bi	比	0141
bi-jiao	比较	0142
bi-lin	比邻	0143
bi-ni	比拟	0144
bi-sai	比赛	0145
bi-ting	笔挺	0146
bi-bo-dang-yang	碧波荡漾	0147
bi-ye	毕业	0148
bi-ye-yu	毕业于	0149
bi-hui	闭会	0150
bi-mu	闭幕	0151
bi-se	闭塞	0152
bi	必	0153
bi-bei	必备	0154
bi-xu	必需	0155
bi-xu	必须	0156
bi-yao	必要	0157
bi-jian	辟建	0158
bi-wei	辟为	0159
bi-feng	避风	0160
bi-mian	避免	0161
bian-ji	编辑	0162
bian-pei	编配	0163
bian-xie	编写	0164
bian-zao	编造	0165
bian-zhi	编制	0166
bian	贬	0167
bian-po	贬破	0168
bian-zhi	贬值	0169
bian-zhi	贬至	0170
bian	便	0171
bian-jie	便捷	0172
bian-li	便利	0173
pian-yi	便宜	0174
bian-yu	便于	0175
bian	变	0176
bian-cha	变差	0177
bian-cheng	变成	0178
bian-de	变得	0179
bian-dong	变动	0180
bian-ge	变革	0181
bian-geng	变更	0182
bian-hua	变化	0183
bian-hua-dou-duan	变化多端	0184
bian-huan	变幻	0185
bian-huan-wu-chang	变幻无常	0186
bian-man	变慢	0187
bian-qian	变迁	0188
bian-qiang	变强	0189
bian-xian	变现	0190
bian-xiao	变小	0191
bian-xing	变形	0192
bian-yang	变样	0193
bian-zhai	变窄	0194
bian-hu	辩护	0195
bian-bu	遍布	0196
biao	标	0197
biao-chu	标出	0198
biao-ji	标记	0199
biao-jia	标价	0200
biao-ming	标明	0201
biao-zhi	标识	0202
biao-you	标有	0203
biao-zhi	标志	0204
biao-bing	彪炳	0205
biao	表	0206
biao-da	表达	0207
biao-jue	表决	0208
biao-lu-wu-yi	表露无遗	0209
biao-mian	表面	0210
biao-ming	表明	0211
biao-shi	表示	0212
biao-shu	表述	0213
biao-xian	表现	0214
biao-yan	表演	0215
biao-zhang	表彰	0216
bie	别	0217
bie-ju-yi-ge	别具一格	0218
bie-kai-sheng-mian	别开生面	0219
bie-you-yong-xin	别有用心	0220
bin	濒	0221
bin-lin	濒临	0222
bing-leng	冰冷	0223
bing-cheng	秉承	0224
bing-shi	病逝	0225
bing	并	0226
bing-cun	并存	0227
bing-gou	并购	0228
bing-ju	并举	0229
bing-lie	并列	0230
bing-xing-bu-bei	并行不悖	0231
bo	播	0232
bo-fang	播放	0233
bo-song	播送	0234
bo-ying	播映	0235
bo	拨	0236
bo-bo	拨拨	0237
bo-chu	拨出	0238
bo-fa	拨发	0239
bo-fu	拨付	0240
bo-kuan	拨款	0241
bo-dong	波动	0242
bo-ji	波及	0243
bo-lan-zhuang-kuo	波澜壮阔	0244
bo-de	博得	0245
exuberant	勃勃	0246
bo-fa	勃发	0247
bo-chi	驳斥	0248
bu-lao	捕捞	0249
bu-sha	捕杀	0250
bu	补	0251
bu-chong	补充	0252
bu-ji	补给	0253
